"Kod";"Nazwa";"1 kwartał;ogółem;ogółem;2010;[szt.]";"1 kwartał;ogółem;ogółem;2011;[szt.]";"1 kwartał;ogółem;ogółem;2012;[szt.]";"1 kwartał;ogółem;ogółem;2013;[szt.]";"1 kwartał;ogółem;ogółem;2014;[szt.]";"1 kwartał;ogółem;ogółem;2015;[szt.]";"1 kwartał;ogółem;ogółem;2016;[szt.]";"1 kwartał;ogółem;ogółem;2017;[szt.]";"1 kwartał;ogółem;ogółem;2018;[szt.]";"1 kwartał;ogółem;ogółem;2019;[szt.]";"1 kwartał;ogółem;ogółem;2020;[szt.]";"1 kwartał;ogółem;ogółem;2021;[szt.]";"1 kwartał;ogółem;ogółem;2022;[szt.]";"1 kwartał;ogółem;ogółem;2023;[szt.]";"1 kwartał;ogółem;ogółem;2024;[szt.]";"1 kwartał;ogółem;ogółem;2025;[szt.]";"2 kwartał;ogółem;ogółem;2010;[szt.]";"2 kwartał;ogółem;ogółem;2011;[szt.]";"2 kwartał;ogółem;ogółem;2012;[szt.]";"2 kwartał;ogółem;ogółem;2013;[szt.]";"2 kwartał;ogółem;ogółem;2014;[szt.]";"2 kwartał;ogółem;ogółem;2015;[szt.]";"2 kwartał;ogółem;ogółem;2016;[szt.]";"2 kwartał;ogółem;ogółem;2017;[szt.]";"2 kwartał;ogółem;ogółem;2018;[szt.]";"2 kwartał;ogółem;ogółem;2019;[szt.]";"2 kwartał;ogółem;ogółem;2020;[szt.]";"2 kwartał;ogółem;ogółem;2021;[szt.]";"2 kwartał;ogółem;ogółem;2022;[szt.]";"2 kwartał;ogółem;ogółem;2023;[szt.]";"2 kwartał;ogółem;ogółem;2024;[szt.]";"2 kwartał;ogółem;ogółem;2025;[szt.]";"3 kwartał;ogółem;ogółem;2010;[szt.]";"3 kwartał;ogółem;ogółem;2011;[szt.]";"3 kwartał;ogółem;ogółem;2012;[szt.]";"3 kwartał;ogółem;ogółem;2013;[szt.]";"3 kwartał;ogółem;ogółem;2014;[szt.]";"3 kwartał;ogółem;ogółem;2015;[szt.]";"3 kwartał;ogółem;ogółem;2016;[szt.]";"3 kwartał;ogółem;ogółem;2017;[szt.]";"3 kwartał;ogółem;ogółem;2018;[szt.]";"3 kwartał;ogółem;ogółem;2019;[szt.]";"3 kwartał;ogółem;ogółem;2020;[szt.]";"3 kwartał;ogółem;ogółem;2021;[szt.]";"3 kwartał;ogółem;ogółem;2022;[szt.]";"3 kwartał;ogółem;ogółem;2023;[szt.]";"3 kwartał;ogółem;ogółem;2024;[szt.]";"3 kwartał;ogółem;ogółem;2025;[szt.]";"4 kwartał;ogółem;ogółem;2010;[szt.]";"4 kwartał;ogółem;ogółem;2011;[szt.]";"4 kwartał;ogółem;ogółem;2012;[szt.]";"4 kwartał;ogółem;ogółem;2013;[szt.]";"4 kwartał;ogółem;ogółem;2014;[szt.]";"4 kwartał;ogółem;ogółem;2015;[szt.]";"4 kwartał;ogółem;ogółem;2016;[szt.]";"4 kwartał;ogółem;ogółem;2017;[szt.]";"4 kwartał;ogółem;ogółem;2018;[szt.]";"4 kwartał;ogółem;ogółem;2019;[szt.]";"4 kwartał;ogółem;ogółem;2020;[szt.]";"4 kwartał;ogółem;ogółem;2021;[szt.]";"4 kwartał;ogółem;ogółem;2022;[szt.]";"4 kwartał;ogółem;ogółem;2023;[szt.]";"4 kwartał;ogółem;ogółem;2024;[szt.]";"4 kwartał;ogółem;ogółem;2025;[szt.]";
0264000;"Powiat m. Wrocław";1893;1580;1812;2418;2204;2471;3532;3085;3317;3241;3479;3383;3622;2694;;;1493;1705;1900;2700;1745;2582;3677;3798;3366;4378;1698;4074;3170;2915;;;1784;1819;2044;2521;1974;2719;3002;3001;2978;2834;1079;3660;3075;3299;;;2507;2201;1496;2612;2518;2418;1932;2161;2764;1797;506;5263;2888;4196;;;
0461000;"Powiat m. Bydgoszcz";403;573;636;666;641;678;785;848;1064;978;797;874;1141;816;;;342;522;562;772;579;758;836;814;800;808;501;1245;769;795;;;407;457;654;625;622;599;678;800;897;739;742;791;823;1117;;;443;654;627;653;656;642;325;613;723;726;805;819;759;1129;;;
0663000;"Powiat m. Lublin";471;440;662;351;372;687;849;1040;1473;1153;909;1390;880;1358;;;355;238;239;411;331;497;777;841;1297;1370;1075;1227;814;1427;;;501;422;553;566;242;500;582;832;901;1043;1184;1293;1046;1196;;;312;232;312;500;386;782;779;774;959;777;1512;1296;1095;1583;;;
0862000;"Powiat m. Zielona Góra";152;185;233;246;390;206;186;276;589;616;572;604;395;582;;;88;119;249;144;39;234;263;237;369;501;381;364;465;351;;;261;259;160;226;52;152;248;358;353;407;563;364;519;363;;;160;205;217;129;118;187;261;296;555;167;496;538;287;440;;;
1061000;"Powiat m. Łódź";406;316;583;1236;1000;1245;1470;1297;1628;1764;2128;2789;2353;2090;;;664;602;99;1089;1098;1119;1270;1214;1978;2112;1826;2778;2123;1892;;;654;777;974;1177;1133;1128;1396;1595;1704;1951;2183;2187;1745;2171;;;318;772;728;1225;919;1338;1291;1217;1719;1486;1912;1537;947;2476;;;
1261000;"Powiat m. Kraków";2054;1665;1728;2174;2457;2811;3277;3727;3648;3954;3147;3807;3795;3782;;;1965;1829;1811;2301;2602;2479;3425;3274;3133;3949;2946;4792;4459;3529;;;1991;1819;1739;2411;2855;2878;2440;2677;2963;3476;2947;3761;3722;4583;;;2342;1994;1995;2835;2969;2922;1818;824;1841;1784;2536;3206;3974;4578;;;
1465000;"Powiat m. st. Warszawa";2431;2476;2790;2627;3436;5007;5720;7087;6108;4846;6296;7001;6227;4682;;;2307;2732;2543;3021;3364;5100;6839;6934;5679;5817;5547;7520;6124;5468;;;2490;2823;2569;3409;3639;5727;6889;6738;6234;6664;6007;5379;5377;5936;;;2640;2768;2702;3890;3498;6078;5283;2530;5171;5589;3841;1386;5026;7478;;;
1661000;"Powiat m. Opole";128;138;201;176;234;211;236;251;396;297;595;389;540;385;;;289;177;163;170;242;175;289;252;328;340;325;372;407;349;;;312;171;195;196;169;201;200;221;298;310;421;372;366;299;;;209;261;193;251;238;254;190;301;309;413;366;377;369;340;;;
1863000;"Powiat m. Rzeszów";55;49;358;383;254;382;343;465;355;899;786;1188;812;706;;;0;47;198;362;289;589;352;167;571;883;601;1073;637;499;;;0;55;205;272;356;397;162;184;867;936;1269;871;983;713;;;52;168;230;198;278;547;195;278;793;1310;1084;1115;1002;935;;;
2061000;"Powiat m. Białystok";256;370;510;542;599;622;883;893;772;715;785;826;1435;787;;;304;403;476;437;613;485;711;700;620;803;739;1259;882;899;;;398;527;542;478;646;746;671;771;640;916;906;1120;936;949;;;538;522;528;612;554;595;599;782;960;1076;972;1387;574;1323;;;
2261000;"Powiat m. Gdańsk";12;803;1011;1538;1242;1545;1615;1864;2180;1976;2059;2683;2030;0;;;178;832;1241;1633;1369;1671;2203;2346;2380;2676;1863;2540;2491;3316;;;277;969;1153;1585;1348;1685;2154;2320;2101;2666;2183;2160;2237;2871;;;892;1154;1365;1515;1510;1921;1732;2043;3021;2660;2370;2316;2428;0;;;
2469000;"Powiat m. Katowice";138;250;230;233;270;276;374;416;450;387;446;516;106;851;;;174;249;224;260;275;294;350;365;456;463;306;483;142;1025;;;147;237;231;250;283;266;373;419;406;443;385;240;0;937;;;223;235;223;253;276;317;252;410;564;414;394;140;0;1218;;;
2661000;"Powiat m. Kielce";107;109;272;179;232;294;382;360;437;383;666;497;520;561;;;113;57;170;223;211;222;482;331;418;592;378;926;537;581;;;99;155;233;293;228;267;333;292;427;584;797;490;427;495;;;86;26;232;415;361;502;104;303;391;189;319;189;491;456;;;
2862000;"Powiat m. Olsztyn";379;311;428;492;428;462;392;550;453;595;623;612;535;552;;;438;304;302;437;467;444;453;464;508;478;456;748;577;504;;;357;429;381;437;404;362;307;419;489;559;634;607;585;667;;;464;594;616;478;565;536;298;609;534;500;408;552;576;649;;;
3064000;"Powiat m. Poznań";1065;987;1059;1035;1108;1205;1667;1624;2177;1690;1659;2403;2937;1855;;;1171;1131;923;1236;1257;1450;1770;1601;1931;1177;1610;1625;2219;2206;;;1195;1018;1391;1466;1589;1367;1497;1673;1843;633;814;1592;2122;2211;;;1022;1268;1307;1223;1305;1835;1181;1620;1587;144;446;762;1976;2408;;;
3262000;"Powiat m. Szczecin";394;759;685;689;752;908;645;1077;1150;848;133;124;61;83;;;365;618;640;855;810;716;803;866;1012;1395;48;234;47;44;;;428;632;684;804;681;691;957;1114;1068;1118;21;259;28;117;;;562;524;765;824;768;448;1353;1121;1014;170;28;72;19;178;;;
