"Kod";"Nazwa";"styczeń;ogółem;2010;[-]";"styczeń;ogółem;2011;[-]";"styczeń;ogółem;2012;[-]";"styczeń;ogółem;2013;[-]";"styczeń;ogółem;2014;[-]";"styczeń;ogółem;2015;[-]";"styczeń;ogółem;2016;[-]";"styczeń;ogółem;2017;[-]";"styczeń;ogółem;2018;[-]";"styczeń;ogółem;2019;[-]";"styczeń;ogółem;2020;[-]";"styczeń;ogółem;2021;[-]";"styczeń;ogółem;2022;[-]";"styczeń;ogółem;2023;[-]";"styczeń;ogółem;2024;[-]";"styczeń;ogółem;2025;[-]";"styczeń-luty;ogółem;2010;[-]";"styczeń-luty;ogółem;2011;[-]";"styczeń-luty;ogółem;2012;[-]";"styczeń-luty;ogółem;2013;[-]";"styczeń-luty;ogółem;2014;[-]";"styczeń-luty;ogółem;2015;[-]";"styczeń-luty;ogółem;2016;[-]";"styczeń-luty;ogółem;2017;[-]";"styczeń-luty;ogółem;2018;[-]";"styczeń-luty;ogółem;2019;[-]";"styczeń-luty;ogółem;2020;[-]";"styczeń-luty;ogółem;2021;[-]";"styczeń-luty;ogółem;2022;[-]";"styczeń-luty;ogółem;2023;[-]";"styczeń-luty;ogółem;2024;[-]";"styczeń-luty;ogółem;2025;[-]";"styczeń-marzec;ogółem;2010;[-]";"styczeń-marzec;ogółem;2011;[-]";"styczeń-marzec;ogółem;2012;[-]";"styczeń-marzec;ogółem;2013;[-]";"styczeń-marzec;ogółem;2014;[-]";"styczeń-marzec;ogółem;2015;[-]";"styczeń-marzec;ogółem;2016;[-]";"styczeń-marzec;ogółem;2017;[-]";"styczeń-marzec;ogółem;2018;[-]";"styczeń-marzec;ogółem;2019;[-]";"styczeń-marzec;ogółem;2020;[-]";"styczeń-marzec;ogółem;2021;[-]";"styczeń-marzec;ogółem;2022;[-]";"styczeń-marzec;ogółem;2023;[-]";"styczeń-marzec;ogółem;2024;[-]";"styczeń-marzec;ogółem;2025;[-]";"styczeń-kwiecień;ogółem;2010;[-]";"styczeń-kwiecień;ogółem;2011;[-]";"styczeń-kwiecień;ogółem;2012;[-]";"styczeń-kwiecień;ogółem;2013;[-]";"styczeń-kwiecień;ogółem;2014;[-]";"styczeń-kwiecień;ogółem;2015;[-]";"styczeń-kwiecień;ogółem;2016;[-]";"styczeń-kwiecień;ogółem;2017;[-]";"styczeń-kwiecień;ogółem;2018;[-]";"styczeń-kwiecień;ogółem;2019;[-]";"styczeń-kwiecień;ogółem;2020;[-]";"styczeń-kwiecień;ogółem;2021;[-]";"styczeń-kwiecień;ogółem;2022;[-]";"styczeń-kwiecień;ogółem;2023;[-]";"styczeń-kwiecień;ogółem;2024;[-]";"styczeń-kwiecień;ogółem;2025;[-]";"styczeń-maj;ogółem;2010;[-]";"styczeń-maj;ogółem;2011;[-]";"styczeń-maj;ogółem;2012;[-]";"styczeń-maj;ogółem;2013;[-]";"styczeń-maj;ogółem;2014;[-]";"styczeń-maj;ogółem;2015;[-]";"styczeń-maj;ogółem;2016;[-]";"styczeń-maj;ogółem;2017;[-]";"styczeń-maj;ogółem;2018;[-]";"styczeń-maj;ogółem;2019;[-]";"styczeń-maj;ogółem;2020;[-]";"styczeń-maj;ogółem;2021;[-]";"styczeń-maj;ogółem;2022;[-]";"styczeń-maj;ogółem;2023;[-]";"styczeń-maj;ogółem;2024;[-]";"styczeń-maj;ogółem;2025;[-]";"styczeń-czerwiec;ogółem;2010;[-]";"styczeń-czerwiec;ogółem;2011;[-]";"styczeń-czerwiec;ogółem;2012;[-]";"styczeń-czerwiec;ogółem;2013;[-]";"styczeń-czerwiec;ogółem;2014;[-]";"styczeń-czerwiec;ogółem;2015;[-]";"styczeń-czerwiec;ogółem;2016;[-]";"styczeń-czerwiec;ogółem;2017;[-]";"styczeń-czerwiec;ogółem;2018;[-]";"styczeń-czerwiec;ogółem;2019;[-]";"styczeń-czerwiec;ogółem;2020;[-]";"styczeń-czerwiec;ogółem;2021;[-]";"styczeń-czerwiec;ogółem;2022;[-]";"styczeń-czerwiec;ogółem;2023;[-]";"styczeń-czerwiec;ogółem;2024;[-]";"styczeń-czerwiec;ogółem;2025;[-]";"styczeń-lipiec;ogółem;2010;[-]";"styczeń-lipiec;ogółem;2011;[-]";"styczeń-lipiec;ogółem;2012;[-]";"styczeń-lipiec;ogółem;2013;[-]";"styczeń-lipiec;ogółem;2014;[-]";"styczeń-lipiec;ogółem;2015;[-]";"styczeń-lipiec;ogółem;2016;[-]";"styczeń-lipiec;ogółem;2017;[-]";"styczeń-lipiec;ogółem;2018;[-]";"styczeń-lipiec;ogółem;2019;[-]";"styczeń-lipiec;ogółem;2020;[-]";"styczeń-lipiec;ogółem;2021;[-]";"styczeń-lipiec;ogółem;2022;[-]";"styczeń-lipiec;ogółem;2023;[-]";"styczeń-lipiec;ogółem;2024;[-]";"styczeń-lipiec;ogółem;2025;[-]";"styczeń-sierpień;ogółem;2010;[-]";"styczeń-sierpień;ogółem;2011;[-]";"styczeń-sierpień;ogółem;2012;[-]";"styczeń-sierpień;ogółem;2013;[-]";"styczeń-sierpień;ogółem;2014;[-]";"styczeń-sierpień;ogółem;2015;[-]";"styczeń-sierpień;ogółem;2016;[-]";"styczeń-sierpień;ogółem;2017;[-]";"styczeń-sierpień;ogółem;2018;[-]";"styczeń-sierpień;ogółem;2019;[-]";"styczeń-sierpień;ogółem;2020;[-]";"styczeń-sierpień;ogółem;2021;[-]";"styczeń-sierpień;ogółem;2022;[-]";"styczeń-sierpień;ogółem;2023;[-]";"styczeń-sierpień;ogółem;2024;[-]";"styczeń-sierpień;ogółem;2025;[-]";"styczeń-wrzesień;ogółem;2010;[-]";"styczeń-wrzesień;ogółem;2011;[-]";"styczeń-wrzesień;ogółem;2012;[-]";"styczeń-wrzesień;ogółem;2013;[-]";"styczeń-wrzesień;ogółem;2014;[-]";"styczeń-wrzesień;ogółem;2015;[-]";"styczeń-wrzesień;ogółem;2016;[-]";"styczeń-wrzesień;ogółem;2017;[-]";"styczeń-wrzesień;ogółem;2018;[-]";"styczeń-wrzesień;ogółem;2019;[-]";"styczeń-wrzesień;ogółem;2020;[-]";"styczeń-wrzesień;ogółem;2021;[-]";"styczeń-wrzesień;ogółem;2022;[-]";"styczeń-wrzesień;ogółem;2023;[-]";"styczeń-wrzesień;ogółem;2024;[-]";"styczeń-wrzesień;ogółem;2025;[-]";"styczeń-październik;ogółem;2010;[-]";"styczeń-październik;ogółem;2011;[-]";"styczeń-październik;ogółem;2012;[-]";"styczeń-październik;ogółem;2013;[-]";"styczeń-październik;ogółem;2014;[-]";"styczeń-październik;ogółem;2015;[-]";"styczeń-październik;ogółem;2016;[-]";"styczeń-październik;ogółem;2017;[-]";"styczeń-październik;ogółem;2018;[-]";"styczeń-październik;ogółem;2019;[-]";"styczeń-październik;ogółem;2020;[-]";"styczeń-październik;ogółem;2021;[-]";"styczeń-październik;ogółem;2022;[-]";"styczeń-październik;ogółem;2023;[-]";"styczeń-październik;ogółem;2024;[-]";"styczeń-październik;ogółem;2025;[-]";"styczeń-listopad;ogółem;2010;[-]";"styczeń-listopad;ogółem;2011;[-]";"styczeń-listopad;ogółem;2012;[-]";"styczeń-listopad;ogółem;2013;[-]";"styczeń-listopad;ogółem;2014;[-]";"styczeń-listopad;ogółem;2015;[-]";"styczeń-listopad;ogółem;2016;[-]";"styczeń-listopad;ogółem;2017;[-]";"styczeń-listopad;ogółem;2018;[-]";"styczeń-listopad;ogółem;2019;[-]";"styczeń-listopad;ogółem;2020;[-]";"styczeń-listopad;ogółem;2021;[-]";"styczeń-listopad;ogółem;2022;[-]";"styczeń-listopad;ogółem;2023;[-]";"styczeń-listopad;ogółem;2024;[-]";"styczeń-listopad;ogółem;2025;[-]";"styczeń-grudzień;ogółem;2010;[-]";"styczeń-grudzień;ogółem;2011;[-]";"styczeń-grudzień;ogółem;2012;[-]";"styczeń-grudzień;ogółem;2013;[-]";"styczeń-grudzień;ogółem;2014;[-]";"styczeń-grudzień;ogółem;2015;[-]";"styczeń-grudzień;ogółem;2016;[-]";"styczeń-grudzień;ogółem;2017;[-]";"styczeń-grudzień;ogółem;2018;[-]";"styczeń-grudzień;ogółem;2019;[-]";"styczeń-grudzień;ogółem;2020;[-]";"styczeń-grudzień;ogółem;2021;[-]";"styczeń-grudzień;ogółem;2022;[-]";"styczeń-grudzień;ogółem;2023;[-]";"styczeń-grudzień;ogółem;2024;[-]";"styczeń-grudzień;ogółem;2025;[-]";
0264000;"Powiat m. Wrocław";129;542;122;43;614;598;335;598;1963;1278;431;1307;659;212;888;474;234;798;929;130;1197;1379;508;1175;2407;1524;587;2218;1202;904;1436;509;1401;1499;1558;399;1303;2040;1288;2123;3251;3619;1657;2333;1512;1568;2552;1130;1401;1668;1790;845;2037;2640;2254;2613;3812;4542;1966;3213;2068;1700;3186;1885;2203;2372;1930;1082;2525;3285;2984;3902;5020;5309;2163;3712;2420;1742;3532;2184;2276;2943;2513;1359;2810;3721;4199;5298;6013;6225;2763;4160;2918;2320;3946;2625;2827;3474;2698;1690;3494;4234;5182;6722;6204;7219;3222;4879;3315;3238;5290;;3117;3869;2776;2209;4315;5859;5928;8000;6790;8067;3425;5273;3541;3946;5507;;4003;5666;2972;3378;5126;6621;6706;8436;8331;8863;5022;5644;3819;4491;6264;;4472;5666;3273;4432;5379;7640;7227;8777;8939;10910;5403;6933;3945;5425;7299;;4605;6857;4218;4924;5940;8510;8435;9688;9748;11775;6408;8684;4007;5858;7311;;4724;7364;4425;5242;6191;9422;9205;10276;10997;12107;7605;9518;4061;6342;7519;;
0461000;"Powiat m. Bydgoszcz";89;76;20;4;1;27;45;138;296;27;50;166;8;8;1;211;93;96;136;44;57;31;139;221;351;172;248;258;18;16;122;216;105;144;176;176;72;182;374;319;816;455;925;329;99;43;577;250;270;208;263;314;82;194;669;405;927;721;1014;631;240;50;693;391;298;344;276;512;318;261;725;830;950;784;1020;1234;390;343;959;406;394;421;561;536;591;488;776;880;1095;971;1201;1398;395;548;993;444;504;430;649;585;599;495;980;1111;1408;999;2123;1430;401;590;1029;;517;521;674;718;670;500;988;1422;1579;1069;2132;1695;421;727;1046;;569;575;718;782;877;730;1034;1597;1783;1211;2362;1780;428;818;1312;;742;1034;799;1092;1071;868;1037;1925;1818;1580;2387;1975;818;1125;1487;;747;1101;837;1198;1078;1068;1041;1955;1917;2045;2536;1985;1517;1321;1825;;750;1261;837;1204;1208;1129;1261;2087;1929;2089;2622;2263;1522;1327;1828;;
0663000;"Powiat m. Lublin";4;20;181;105;109;57;165;209;273;223;139;191;250;7;440;42;181;148;230;106;344;77;382;525;406;244;433;830;512;334;888;372;246;280;538;330;471;333;856;894;769;545;787;2069;877;673;905;723;393;342;600;364;873;621;999;1093;993;770;1067;2377;1259;729;1348;1031;444;482;648;415;973;772;1087;1148;1263;1146;1309;2503;1800;1117;1585;1056;700;549;692;571;1159;1051;1193;1179;1486;1173;1375;3150;2015;1604;1923;1291;888;670;785;634;1250;1448;1587;1518;1616;1479;1610;3346;2044;1922;2669;;929;989;807;747;1390;1765;1897;1736;2124;1921;2145;3374;2079;2003;2903;;1236;1279;1297;926;1531;2597;2027;1820;2376;2036;2419;3828;2103;2521;2966;;1577;1489;1322;1196;1854;2862;2052;2035;2530;2122;2800;4328;2117;2758;3358;;1819;1585;1417;1330;1861;3050;2238;2319;2686;2276;2861;4642;2288;3567;4065;;1951;1698;1479;1389;1940;3339;2267;2329;2837;2750;3462;5053;2530;3573;4339;;
0862000;"Powiat m. Zielona Góra";106;3;7;5;196;5;57;24;23;26;13;22;17;435;17;45;110;9;9;229;197;38;73;224;31;41;86;75;155;474;64;193;115;148;20;236;394;54;90;274;58;231;266;221;173;480;78;392;288;186;460;239;403;321;155;284;75;357;318;398;307;492;93;435;301;192;604;243;481;667;336;410;295;783;370;573;361;506;129;522;317;469;614;368;487;799;387;818;418;1051;497;630;428;629;204;561;395;473;620;373;492;884;446;869;458;1278;595;731;478;912;285;;404;634;632;393;735;968;591;887;1096;1370;647;755;491;1030;309;;447;640;639;403;740;1072;724;930;1139;1392;773;866;527;1164;320;;456;686;1010;406;882;1120;1072;936;1161;1609;823;930;539;1229;350;;459;725;1012;609;896;1135;1089;949;1308;1690;946;959;603;1262;372;;461;769;1046;613;960;1164;1103;984;1492;1859;952;990;624;1747;513;;
1061000;"Powiat m. Łódź";2;45;14;257;14;383;74;699;48;593;57;336;338;45;1696;1663;9;57;43;268;123;423;304;870;670;1222;558;579;402;665;2425;2266;407;239;310;428;901;920;489;1000;1006;1786;1596;1485;906;998;4267;2892;936;363;363;631;1093;1059;677;1239;1209;2298;1796;1953;1084;1878;5247;3407;1077;542;488;695;1478;1190;812;1396;1804;2780;1862;3235;1291;2120;5849;3696;1171;594;563;860;1664;1264;1004;1988;2099;3497;2019;3918;1883;2452;6999;4366;1379;638;600;889;1794;1295;1209;2128;2558;4008;2158;4884;2387;2563;7215;;1420;658;666;1139;1924;1466;1381;2511;2855;4293;2498;5244;2418;2838;7935;;1459;1091;696;1252;2087;1762;1487;2589;2974;4965;3051;6192;3118;3155;8159;;1832;1207;870;1565;2266;1910;1942;2946;3230;5233;3360;6395;3434;3968;9615;;2105;1492;908;1618;2318;2214;2012;3245;3721;5301;3981;6835;3549;4528;9821;;2374;1972;915;1631;2361;2717;2340;3552;3842;6708;4037;7117;4003;5037;10413;;
1261000;"Powiat m. Kraków";562;591;736;162;226;384;469;1242;878;445;570;729;111;42;574;629;1177;791;1653;766;707;1070;1107;2031;1490;811;939;1484;817;67;1548;1696;1827;2486;2114;1802;1817;1414;2816;2746;3040;1933;1801;2619;1450;807;2156;1875;2027;3129;4485;2737;2358;4136;3870;3725;3928;2473;1940;3674;2099;1478;2670;3364;3147;3903;5086;3414;2550;5079;4136;3935;4319;3117;2382;4668;2816;2151;2796;4894;3851;4850;5898;3720;3222;6291;5257;4706;5039;3763;3428;5323;3847;2444;3382;5413;4827;5525;6406;5177;4031;6996;5489;5378;6274;4708;4649;6106;4529;2980;3940;;5386;6520;7261;6151;5051;7144;5600;6800;7513;5668;5214;7221;4682;3686;4287;;6163;7463;8423;7101;5678;8297;6384;8233;8128;6798;6220;7358;4811;4146;4944;;6626;8369;8711;8150;7681;9057;7466;8714;9138;8224;6579;7831;4998;4786;6022;;8242;8885;8964;8481;8007;10048;7904;9567;9687;9214;8090;8898;5254;5341;6610;;9158;9423;9021;8650;9266;10942;8054;10582;10070;10240;9010;10805;5326;5708;6716;;
1465000;"Powiat m. st. Warszawa";347;1113;553;476;1310;750;1192;1079;1759;2091;1624;1184;743;1267;1297;2242;1311;2219;1051;931;3222;1543;2535;1957;4144;3925;3262;1808;2472;2453;2393;2782;1838;3150;4030;2268;4441;2053;3606;3158;5926;5812;4274;2745;4084;4986;4359;4192;5347;4285;6184;3149;4873;4003;6993;4215;7837;7541;5066;4271;5168;5754;5411;5037;7064;5179;7933;3735;6563;7203;7967;7361;10047;8190;5494;6400;6930;6500;6410;5986;8130;5955;8574;5195;8088;8178;10467;10361;13259;9566;6207;8045;7858;7748;8449;7003;9325;7399;9114;6004;9283;10052;11972;12621;14375;12240;7243;10035;8687;8715;9492;;10399;8039;9555;6862;11240;11720;13934;15170;17743;14378;8977;13253;8951;10474;11095;;10842;9850;9931;8132;13432;14410;15377;16433;19341;16972;10979;14574;10173;12182;12260;;11636;11460;10606;8801;15316;15500;17456;17734;21680;19113;12442;15987;10911;13311;13585;;12302;12735;11474;10098;17023;17703;19761;20183;23028;21062;14319;17020;11886;14269;15255;;13855;14737;11797;10475;18340;20156;21992;22770;24245;22259;15254;18020;13468;15465;16170;;
1661000;"Powiat m. Opole";4;5;6;8;6;64;51;143;171;72;184;28;105;24;25;30;8;12;10;8;10;82;141;238;262;106;298;108;295;209;106;37;27;42;15;60;22;98;163;280;368;192;379;124;313;217;745;81;202;52;19;67;29;165;205;329;398;476;422;303;417;259;764;107;351;61;36;72;30;198;246;341;524;518;439;612;440;281;771;142;377;68;90;73;108;260;386;550;550;728;581;762;528;290;936;180;400;87;190;188;117;271;542;648;724;875;620;808;687;307;962;;457;94;208;200;178;298;549;696;763;923;762;839;716;330;1017;;471;223;216;278;262;383;562;829;870;935;879;924;733;352;1033;;477;234;226;449;397;389;571;946;911;979;915;1009;748;368;1057;;483;256;349;459;402;410;599;1016;927;1038;926;1075;876;430;1162;;484;260;349;557;405;414;600;1025;939;1105;939;1091;880;468;1175;;
1863000;"Powiat m. Rzeszów";68;27;7;21;37;94;156;29;69;208;441;930;75;14;93;376;188;79;134;149;158;187;660;44;241;281;663;1062;198;141;831;495;308;222;166;329;399;416;713;665;604;429;987;1241;432;619;1174;878;477;353;510;385;566;705;923;708;789;572;1392;1403;497;765;1296;924;511;441;615;504;1066;772;1029;1474;949;1356;1481;1498;2028;850;1411;994;624;584;691;520;1118;1012;1110;1627;1165;1478;2096;1967;2766;958;1541;1104;1090;730;894;554;1294;1283;1374;1764;1452;1795;2460;2275;2786;1231;2218;;1159;1039;938;623;1674;1667;1450;1931;1623;1897;2680;2376;2929;1666;2337;;1282;1177;1168;898;1747;1773;2027;2138;2355;2526;2994;2575;2987;1893;3031;;1335;1374;1199;962;1939;1989;2492;2798;2642;3281;3338;2611;3064;2107;3444;;1488;1462;1691;1160;2301;2365;2744;3157;2861;3424;3545;2653;3152;2222;3710;;1496;1595;1944;1325;2613;2435;3167;3576;3139;3656;3728;2710;3529;2293;4043;;
2061000;"Powiat m. Białystok";11;99;175;10;11;6;5;121;12;1115;559;11;305;7;29;562;22;110;303;532;80;42;40;393;30;1360;1153;31;403;16;664;669;128;234;565;547;399;122;95;699;196;1634;1388;451;814;89;890;895;480;253;837;583;524;302;197;765;514;1810;1421;971;939;101;908;908;527;457;1012;605;678;328;282;971;792;1839;1545;1709;956;270;982;1084;578;485;1148;643;699;359;409;1326;1891;2060;1568;1878;1071;303;1229;1263;614;819;1191;738;785;717;499;1404;2065;2180;1677;1893;1276;315;1255;;646;835;1470;920;849;1069;520;1432;2118;2318;2174;2555;1297;405;1560;;1038;862;1482;1048;1262;1277;962;1789;2460;2489;2870;2786;1314;423;1806;;1538;1058;1875;1102;1298;1407;1081;1798;2690;2591;3150;2893;1350;727;2072;;1727;1147;2004;1314;1728;1511;1314;2344;3070;2608;3163;2999;1358;762;2212;;2075;1191;2013;1324;2031;1893;1514;2507;3438;2903;3258;3082;1366;826;2855;;
