"Kod";"Nazwa";"1 kwartał;ogółem;ogółem;mieszkania;2010;[-]";"1 kwartał;ogółem;ogółem;mieszkania;2011;[-]";"1 kwartał;ogółem;ogółem;mieszkania;2012;[-]";"1 kwartał;ogółem;ogółem;mieszkania;2013;[-]";"1 kwartał;ogółem;ogółem;mieszkania;2014;[-]";"1 kwartał;ogółem;ogółem;mieszkania;2015;[-]";"1 kwartał;ogółem;ogółem;mieszkania;2016;[-]";"1 kwartał;ogółem;ogółem;mieszkania;2017;[-]";"1 kwartał;ogółem;ogółem;mieszkania;2018;[-]";"1 kwartał;ogółem;ogółem;mieszkania;2019;[-]";"1 kwartał;ogółem;ogółem;mieszkania;2020;[-]";"1 kwartał;ogółem;ogółem;mieszkania;2021;[-]";"1 kwartał;ogółem;ogółem;mieszkania;2022;[-]";"1 kwartał;ogółem;ogółem;mieszkania;2023;[-]";"1 kwartał;ogółem;ogółem;mieszkania;2024;[-]";"1 kwartał;ogółem;ogółem;mieszkania;2025;[-]";"pierwsze półrocze;ogółem;ogółem;mieszkania;2010;[-]";"pierwsze półrocze;ogółem;ogółem;mieszkania;2011;[-]";"pierwsze półrocze;ogółem;ogółem;mieszkania;2012;[-]";"pierwsze półrocze;ogółem;ogółem;mieszkania;2013;[-]";"pierwsze półrocze;ogółem;ogółem;mieszkania;2014;[-]";"pierwsze półrocze;ogółem;ogółem;mieszkania;2015;[-]";"pierwsze półrocze;ogółem;ogółem;mieszkania;2016;[-]";"pierwsze półrocze;ogółem;ogółem;mieszkania;2017;[-]";"pierwsze półrocze;ogółem;ogółem;mieszkania;2018;[-]";"pierwsze półrocze;ogółem;ogółem;mieszkania;2019;[-]";"pierwsze półrocze;ogółem;ogółem;mieszkania;2020;[-]";"pierwsze półrocze;ogółem;ogółem;mieszkania;2021;[-]";"pierwsze półrocze;ogółem;ogółem;mieszkania;2022;[-]";"pierwsze półrocze;ogółem;ogółem;mieszkania;2023;[-]";"pierwsze półrocze;ogółem;ogółem;mieszkania;2024;[-]";"pierwsze półrocze;ogółem;ogółem;mieszkania;2025;[-]";"1-3 kwartały;ogółem;ogółem;mieszkania;2010;[-]";"1-3 kwartały;ogółem;ogółem;mieszkania;2011;[-]";"1-3 kwartały;ogółem;ogółem;mieszkania;2012;[-]";"1-3 kwartały;ogółem;ogółem;mieszkania;2013;[-]";"1-3 kwartały;ogółem;ogółem;mieszkania;2014;[-]";"1-3 kwartały;ogółem;ogółem;mieszkania;2015;[-]";"1-3 kwartały;ogółem;ogółem;mieszkania;2016;[-]";"1-3 kwartały;ogółem;ogółem;mieszkania;2017;[-]";"1-3 kwartały;ogółem;ogółem;mieszkania;2018;[-]";"1-3 kwartały;ogółem;ogółem;mieszkania;2019;[-]";"1-3 kwartały;ogółem;ogółem;mieszkania;2020;[-]";"1-3 kwartały;ogółem;ogółem;mieszkania;2021;[-]";"1-3 kwartały;ogółem;ogółem;mieszkania;2022;[-]";"1-3 kwartały;ogółem;ogółem;mieszkania;2023;[-]";"1-3 kwartały;ogółem;ogółem;mieszkania;2024;[-]";"1-3 kwartały;ogółem;ogółem;mieszkania;2025;[-]";"rok;ogółem;ogółem;mieszkania;2010;[-]";"rok;ogółem;ogółem;mieszkania;2011;[-]";"rok;ogółem;ogółem;mieszkania;2012;[-]";"rok;ogółem;ogółem;mieszkania;2013;[-]";"rok;ogółem;ogółem;mieszkania;2014;[-]";"rok;ogółem;ogółem;mieszkania;2015;[-]";"rok;ogółem;ogółem;mieszkania;2016;[-]";"rok;ogółem;ogółem;mieszkania;2017;[-]";"rok;ogółem;ogółem;mieszkania;2018;[-]";"rok;ogółem;ogółem;mieszkania;2019;[-]";"rok;ogółem;ogółem;mieszkania;2020;[-]";"rok;ogółem;ogółem;mieszkania;2021;[-]";"rok;ogółem;ogółem;mieszkania;2022;[-]";"rok;ogółem;ogółem;mieszkania;2023;[-]";"rok;ogółem;ogółem;mieszkania;2024;[-]";"rok;ogółem;ogółem;mieszkania;2025;[-]";
0264000;"Powiat m. Wrocław";1180;527;1896;1761;1906;805;2669;1459;2230;2787;2182;2158;1179;1000;1924;1907;2454;1676;3428;4080;2833;2477;4648;3381;4293;4416;5170;5456;2896;3257;2348;;4039;2466;4638;5981;3857;4034;6015;6297;7072;7526;7973;8598;5327;6463;3833;;4666;3752;6676;7839;5935;6671;8475;8844;9444;11400;11010;11012;9039;8184;6039;;
0461000;"Powiat m. Bydgoszcz";275;58;200;477;458;165;359;478;393;329;212;161;221;403;448;130;619;171;468;589;554;217;474;714;589;783;873;901;561;1102;815;;761;514;651;694;837;426;606;1023;852;1035;1079;1151;1252;1850;1118;;996;865;1023;1044;1225;940;864;1432;1139;1340;1665;1438;1642;2375;1513;;
0663000;"Powiat m. Lublin";442;580;744;163;129;308;557;461;1212;910;610;914;247;942;1008;694;758;816;1061;825;342;595;856;1022;1651;1370;1213;1542;1117;2047;2170;;1380;1044;1683;1375;856;1260;1607;1692;2091;1580;2058;2405;1593;2774;3277;;1751;1493;2194;2407;1336;1836;2298;2716;2889;2328;2912;2960;3048;3376;3720;;
0862000;"Powiat m. Zielona Góra";40;32;177;229;253;188;261;257;152;154;159;185;240;97;75;270;198;198;211;292;303;253;654;623;258;392;400;415;793;223;460;;390;335;236;412;467;504;1044;981;398;534;722;755;1217;298;547;;665;557;452;697;843;736;1145;1486;1219;1062;1433;1293;1803;772;762;;
1061000;"Powiat m. Łódź";596;381;892;258;544;439;203;608;589;1017;1667;1277;1789;750;1149;1062;1228;598;1106;735;707;828;656;1055;995;2001;2716;2396;3199;2073;2522;;1515;1136;1296;1251;1177;1570;904;1798;1894;2968;3836;4275;4580;3281;3646;;2082;1525;2595;1435;1752;2252;2066;2520;2800;4202;5768;4921;5788;5204;5489;;
1261000;"Powiat m. Kraków";1811;1473;1829;2417;2300;1732;2161;2848;2235;3499;3436;2165;2877;2461;2392;1265;2559;2443;3095;3904;3356;3256;4431;5257;4506;7030;5047;4117;4941;4262;3954;;3902;3186;4612;4953;5195;4175;6464;8249;6646;9306;7409;6686;7559;7070;6273;;4716;4852;6824;7019;7346;6455;9363;11044;9606;13039;10158;10101;10766;9635;8653;;
1465000;"Powiat m. st. Warszawa";2666;1089;2888;3813;3014;2576;4880;4086;5622;4805;4078;4271;2387;4236;3505;4211;5631;3008;6043;5525;6971;5717;9702;7692;9952;9414;8956;7624;5284;8107;6211;;9900;5341;9804;8541;10542;9557;14753;12514;16806;15164;16893;12573;9937;10845;9919;;12462;9356;13496;13128;14964;13306;20119;20331;23430;21599;23543;18528;15465;16092;14873;;
1661000;"Powiat m. Opole";290;18;17;33;43;30;94;93;204;239;78;269;169;154;192;52;633;128;61;62;135;58;212;217;366;476;318;426;450;255;377;;704;221;155;238;187;223;269;266;606;694;570;795;598;394;452;;727;410;352;308;449;328;453;616;795;1179;929;1105;874;726;640;;
1863000;"Powiat m. Rzeszów";281;575;431;397;376;891;785;374;270;581;440;1003;385;378;594;500;457;650;757;723;694;1131;1164;839;720;1610;1078;1386;1323;749;1385;;605;1080;1022;995;1289;1866;1741;1933;1714;2776;2096;2009;2458;1582;2240;;937;1565;1576;1346;1649;2392;2958;2599;2307;3291;3837;2693;3134;2175;2561;;
2061000;"Powiat m. Białystok";427;222;256;105;355;323;303;653;262;421;596;377;344;905;1207;617;736;592;1074;403;860;915;875;1086;716;861;1104;1440;1207;1633;1513;;1182;938;1667;1032;1111;1241;1177;1604;1262;1753;1639;1780;1503;1882;1952;;1630;1711;2249;1574;1736;2088;1795;2033;1927;2450;2832;3234;1979;2786;2503;;
2261000;"Powiat m. Gdańsk";706;286;491;1228;425;450;800;1212;844;1057;929;1227;1083;764;1531;1128;1611;1009;1144;1645;1275;1205;1456;2460;1894;2914;2459;2458;2152;2291;3364;;2019;2005;2158;2811;1889;2513;2480;4203;4563;4555;3856;3662;3677;3924;4722;;3534;4422;5095;3851;3945;4506;5080;6442;6851;7265;6558;7328;7165;6236;6452;;
2469000;"Powiat m. Katowice";215;52;172;65;309;105;456;337;186;412;810;341;406;352;301;404;333;147;221;214;961;619;667;551;376;631;1226;1323;787;679;1165;;417;583;289;441;1129;879;959;1118;639;901;2504;2093;1364;1170;2002;;1137;663;376;510;1314;1159;1675;1642;894;1344;3451;2325;1870;2968;2664;;
2661000;"Powiat m. Kielce";249;211;182;110;301;78;163;154;369;319;274;462;375;653;539;343;416;379;342;152;361;211;397;389;518;551;840;772;831;797;782;;498;555;489;259;971;290;484;557;879;866;1191;921;947;909;1020;;744;876;810;666;1377;943;755;609;895;1424;1545;1173;1093;1177;1303;;
2862000;"Powiat m. Olsztyn";303;121;81;496;320;115;116;70;156;221;300;243;224;177;209;25;354;210;282;674;417;228;174;466;316;456;843;447;737;370;426;;767;666;578;697;720;453;261;772;401;1183;1007;671;1200;649;707;;994;957;1224;1187;873;700;548;847;663;1279;1509;802;1391;962;918;;
3064000;"Powiat m. Poznań";1312;642;204;335;982;260;344;837;819;979;1107;1357;1387;1388;479;812;1965;1111;1024;1131;1906;990;857;1738;2129;2204;1898;2798;2686;2768;1677;;2285;1973;1849;1712;2434;2167;1732;2620;3109;4095;3440;4969;3505;3846;3882;;3180;2512;2734;2597;3642;3629;2915;4069;4006;5043;4927;6389;5319;4619;5045;;
3262000;"Powiat m. Szczecin";198;440;420;500;380;462;533;369;813;869;550;617;851;489;455;674;563;850;702;757;535;729;1503;1230;1297;1567;1338;1111;1090;1276;1368;;1074;1054;1351;984;970;895;2040;1938;1883;2240;1966;2027;1800;1647;1679;;1509;1805;1946;1426;1404;1132;2955;2661;2299;3215;2659;2997;2468;2524;2086;;
