"Kod";"Nazwa";"1 kwartał;ogółem;ogółem;2010;[zł]";"1 kwartał;ogółem;ogółem;2011;[zł]";"1 kwartał;ogółem;ogółem;2012;[zł]";"1 kwartał;ogółem;ogółem;2013;[zł]";"1 kwartał;ogółem;ogółem;2014;[zł]";"1 kwartał;ogółem;ogółem;2015;[zł]";"1 kwartał;ogółem;ogółem;2016;[zł]";"1 kwartał;ogółem;ogółem;2017;[zł]";"1 kwartał;ogółem;ogółem;2018;[zł]";"1 kwartał;ogółem;ogółem;2019;[zł]";"1 kwartał;ogółem;ogółem;2020;[zł]";"1 kwartał;ogółem;ogółem;2021;[zł]";"1 kwartał;ogółem;ogółem;2022;[zł]";"1 kwartał;ogółem;ogółem;2023;[zł]";"1 kwartał;ogółem;ogółem;2024;[zł]";"1 kwartał;ogółem;ogółem;2025;[zł]";"2 kwartał;ogółem;ogółem;2010;[zł]";"2 kwartał;ogółem;ogółem;2011;[zł]";"2 kwartał;ogółem;ogółem;2012;[zł]";"2 kwartał;ogółem;ogółem;2013;[zł]";"2 kwartał;ogółem;ogółem;2014;[zł]";"2 kwartał;ogółem;ogółem;2015;[zł]";"2 kwartał;ogółem;ogółem;2016;[zł]";"2 kwartał;ogółem;ogółem;2017;[zł]";"2 kwartał;ogółem;ogółem;2018;[zł]";"2 kwartał;ogółem;ogółem;2019;[zł]";"2 kwartał;ogółem;ogółem;2020;[zł]";"2 kwartał;ogółem;ogółem;2021;[zł]";"2 kwartał;ogółem;ogółem;2022;[zł]";"2 kwartał;ogółem;ogółem;2023;[zł]";"2 kwartał;ogółem;ogółem;2024;[zł]";"2 kwartał;ogółem;ogółem;2025;[zł]";"3 kwartał;ogółem;ogółem;2010;[zł]";"3 kwartał;ogółem;ogółem;2011;[zł]";"3 kwartał;ogółem;ogółem;2012;[zł]";"3 kwartał;ogółem;ogółem;2013;[zł]";"3 kwartał;ogółem;ogółem;2014;[zł]";"3 kwartał;ogółem;ogółem;2015;[zł]";"3 kwartał;ogółem;ogółem;2016;[zł]";"3 kwartał;ogółem;ogółem;2017;[zł]";"3 kwartał;ogółem;ogółem;2018;[zł]";"3 kwartał;ogółem;ogółem;2019;[zł]";"3 kwartał;ogółem;ogółem;2020;[zł]";"3 kwartał;ogółem;ogółem;2021;[zł]";"3 kwartał;ogółem;ogółem;2022;[zł]";"3 kwartał;ogółem;ogółem;2023;[zł]";"3 kwartał;ogółem;ogółem;2024;[zł]";"3 kwartał;ogółem;ogółem;2025;[zł]";"4 kwartał;ogółem;ogółem;2010;[zł]";"4 kwartał;ogółem;ogółem;2011;[zł]";"4 kwartał;ogółem;ogółem;2012;[zł]";"4 kwartał;ogółem;ogółem;2013;[zł]";"4 kwartał;ogółem;ogółem;2014;[zł]";"4 kwartał;ogółem;ogółem;2015;[zł]";"4 kwartał;ogółem;ogółem;2016;[zł]";"4 kwartał;ogółem;ogółem;2017;[zł]";"4 kwartał;ogółem;ogółem;2018;[zł]";"4 kwartał;ogółem;ogółem;2019;[zł]";"4 kwartał;ogółem;ogółem;2020;[zł]";"4 kwartał;ogółem;ogółem;2021;[zł]";"4 kwartał;ogółem;ogółem;2022;[zł]";"4 kwartał;ogółem;ogółem;2023;[zł]";"4 kwartał;ogółem;ogółem;2024;[zł]";"4 kwartał;ogółem;ogółem;2025;[zł]";
0264000;"Powiat m. Wrocław";5315;5558;5317;5144;5108;5162;5462;5315;5569;6094;7106;7591;8878;9282;;;5431;5673;5281;6216;5329;5300;5281;5659;5694;6194;6948;7933;8939;9933;;;5598;5546;5294;5227;5527;5219;5557;5639;6084;6559;7351;8269;9152;10401;;;5704;5613;5166;5265;5218;5383;5480;5582;6171;6454;7645;8439;9354;10697;;;
0461000;"Powiat m. Bydgoszcz";3697;3959;3863;3793;3750;3782;3958;3970;4529;4782;5271;5816;6392;6954;;;3540;3983;3795;3802;3746;3954;4045;4191;4582;4862;5463;6038;6676;6986;;;3482;3806;3826;3685;3712;3743;4064;4257;4555;5157;5667;6230;6951;7020;;;3716;3922;3743;3681;3729;3817;3802;4313;4678;5118;6019;6165;6727;7319;;;
0663000;"Powiat m. Lublin";4549;4705;4664;4462;4586;4646;4914;5047;5157;5322;6012;6560;7464;8255;;;4544;4717;4747;4428;4790;4757;4884;4953;5208;5578;6052;6816;7930;8476;;;4515;4775;4664;4538;4522;4731;4951;5033;5414;5907;6187;6862;7665;8639;;;4692;4943;4569;4579;4735;4839;5099;5141;5330;5924;6863;7223;7803;8936;;;
0862000;"Powiat m. Zielona Góra";3448;3350;3125;3257;3214;3120;3045;3216;3775;3992;4387;4714;5901;6229;;;3086;3183;3344;3259;3432;3125;3485;3396;3672;4104;4373;5115;5833;6579;;;3230;3244;2960;3103;3243;3272;3398;3595;3630;4111;4683;4918;5915;7053;;;3281;3349;3327;3338;3247;3266;3534;3632;3977;4182;4626;5103;5829;7152;;;
1061000;"Powiat m. Łódź";4401;4180;3983;3935;3730;3746;3720;3922;4222;4711;5266;5958;6638;7286;;;4252;4066;3766;4079;3702;3739;3828;4046;4424;4835;5575;6080;6804;6948;;;4400;4039;3917;3952;3915;3704;3724;4295;4452;5043;5562;6143;6881;7570;;;4263;3971;3970;3854;3752;3757;3944;4125;4728;5185;5681;6348;6679;7557;;;
1261000;"Powiat m. Kraków";6358;6502;6400;5985;6198;6329;6340;6476;6541;6850;8223;8563;10171;10691;;;6589;6542;6568;6210;6396;6359;6355;6324;6570;7133;8225;8909;10156;11205;;;6543;6562;6248;6204;6263;6572;6542;6574;6646;7383;8253;9006;10363;11912;;;6616;6561;6125;6339;6479;6697;6550;7002;7320;8125;8425;9913;11074;12777;;;
1465000;"Powiat m. st. Warszawa";8311;8336;8136;7502;7430;7591;7719;8059;8369;9072;9599;10712;11852;13059;;;8464;8220;7938;7363;7434;7789;7800;8073;8678;8920;9613;11189;12737;13002;;;8371;8175;8245;7387;8104;7722;7925;8516;8930;9013;10076;11442;12117;13677;;;8528;8259;7775;7442;7737;7568;7642;8162;9139;9306;10547;10898;12643;13994;;;
1661000;"Powiat m. Opole";4085;3868;3873;3866;3949;3956;3817;4080;4459;4856;5246;5710;6241;6641;;;4105;4013;3848;3646;3981;3872;4068;4000;4529;4764;5437;5528;6415;7059;;;3824;4002;4209;3751;4034;4094;4009;4031;4537;4988;5207;5838;6827;7422;;;3927;4233;3880;3981;3975;4053;4019;4329;4492;5044;5572;5891;6712;7484;;;
1863000;"Powiat m. Rzeszów";4362;4462;4217;4090;4083;4348;4451;4473;4594;4933;5252;6220;6462;7122;;;0;4532;4191;4165;4267;4702;4360;4765;4758;4947;5426;6475;6724;7109;;;0;3920;4006;4079;4339;4553;4311;4470;4746;5229;5657;6406;6777;7770;;;3952;4445;4298;4058;4250;4566;4350;4590;4724;5465;5653;6174;6565;8149;;;
2061000;"Powiat m. Białystok";4401;4358;4310;4407;4352;4382;4325;4415;4511;5057;5507;6123;6490;7613;;;4248;4487;4300;4284;4193;4324;4332;4413;4652;5088;5711;6231;6928;7306;;;4390;4570;4352;4298;4266;4436;4373;4425;4824;5217;5867;6309;6950;8000;;;4489;4495;4465;4332;4424;4345;4467;4732;4899;5449;5918;6392;5899;8382;;;
