"Kod";"Nazwa";"1 kwartał;ogółem;ogółem;2010;[zł]";"1 kwartał;ogółem;ogółem;2011;[zł]";"1 kwartał;ogółem;ogółem;2012;[zł]";"1 kwartał;ogółem;ogółem;2013;[zł]";"1 kwartał;ogółem;ogółem;2014;[zł]";"1 kwartał;ogółem;ogółem;2015;[zł]";"1 kwartał;ogółem;ogółem;2016;[zł]";"1 kwartał;ogółem;ogółem;2017;[zł]";"1 kwartał;ogółem;ogółem;2018;[zł]";"1 kwartał;ogółem;ogółem;2019;[zł]";"1 kwartał;ogółem;ogółem;2020;[zł]";"1 kwartał;ogółem;ogółem;2021;[zł]";"1 kwartał;ogółem;ogółem;2022;[zł]";"1 kwartał;ogółem;ogółem;2023;[zł]";"1 kwartał;ogółem;ogółem;2024;[zł]";"1 kwartał;ogółem;ogółem;2025;[zł]";"2 kwartał;ogółem;ogółem;2010;[zł]";"2 kwartał;ogółem;ogółem;2011;[zł]";"2 kwartał;ogółem;ogółem;2012;[zł]";"2 kwartał;ogółem;ogółem;2013;[zł]";"2 kwartał;ogółem;ogółem;2014;[zł]";"2 kwartał;ogółem;ogółem;2015;[zł]";"2 kwartał;ogółem;ogółem;2016;[zł]";"2 kwartał;ogółem;ogółem;2017;[zł]";"2 kwartał;ogółem;ogółem;2018;[zł]";"2 kwartał;ogółem;ogółem;2019;[zł]";"2 kwartał;ogółem;ogółem;2020;[zł]";"2 kwartał;ogółem;ogółem;2021;[zł]";"2 kwartał;ogółem;ogółem;2022;[zł]";"2 kwartał;ogółem;ogółem;2023;[zł]";"2 kwartał;ogółem;ogółem;2024;[zł]";"2 kwartał;ogółem;ogółem;2025;[zł]";"3 kwartał;ogółem;ogółem;2010;[zł]";"3 kwartał;ogółem;ogółem;2011;[zł]";"3 kwartał;ogółem;ogółem;2012;[zł]";"3 kwartał;ogółem;ogółem;2013;[zł]";"3 kwartał;ogółem;ogółem;2014;[zł]";"3 kwartał;ogółem;ogółem;2015;[zł]";"3 kwartał;ogółem;ogółem;2016;[zł]";"3 kwartał;ogółem;ogółem;2017;[zł]";"3 kwartał;ogółem;ogółem;2018;[zł]";"3 kwartał;ogółem;ogółem;2019;[zł]";"3 kwartał;ogółem;ogółem;2020;[zł]";"3 kwartał;ogółem;ogółem;2021;[zł]";"3 kwartał;ogółem;ogółem;2022;[zł]";"3 kwartał;ogółem;ogółem;2023;[zł]";"3 kwartał;ogółem;ogółem;2024;[zł]";"3 kwartał;ogółem;ogółem;2025;[zł]";"4 kwartał;ogółem;ogółem;2010;[zł]";"4 kwartał;ogółem;ogółem;2011;[zł]";"4 kwartał;ogółem;ogółem;2012;[zł]";"4 kwartał;ogółem;ogółem;2013;[zł]";"4 kwartał;ogółem;ogółem;2014;[zł]";"4 kwartał;ogółem;ogółem;2015;[zł]";"4 kwartał;ogółem;ogółem;2016;[zł]";"4 kwartał;ogółem;ogółem;2017;[zł]";"4 kwartał;ogółem;ogółem;2018;[zł]";"4 kwartał;ogółem;ogółem;2019;[zł]";"4 kwartał;ogółem;ogółem;2020;[zł]";"4 kwartał;ogółem;ogółem;2021;[zł]";"4 kwartał;ogółem;ogółem;2022;[zł]";"4 kwartał;ogółem;ogółem;2023;[zł]";"4 kwartał;ogółem;ogółem;2024;[zł]";"4 kwartał;ogółem;ogółem;2025;[zł]";
0264000;"Powiat m. Wrocław";5549;5718;5529;5180;5104;5166;5510;5392;5694;5979;6919;7652;8676;9270;;;5500;5749;5474;5182;5200;5259;5252;5870;5678;6228;6969;7908;8816;10235;;;5587;5768;5351;5181;5544;5255;5424;5682;6111;6624;7607;8132;9040;10364;;;5831;5768;5150;5263;5193;5300;5488;5696;6201;6364;7616;8354;9166;10545;;;
0461000;"Powiat m. Bydgoszcz";3834;3994;3973;3950;3698;3721;3943;4007;4534;4896;5348;5803;6381;7150;;;3641;4059;3840;3886;3878;3905;4079;4229;4594;4977;5543;6220;6749;6917;;;3595;3814;3808;3643;3735;3836;4126;4402;4623;5120;5809;6270;7082;7241;;;3788;3988;3870;3735;3816;3905;3887;4447;4740;5251;6143;6069;7070;7436;;;
0663000;"Powiat m. Lublin";4565;4669;4682;4514;4520;4514;4895;5156;5099;5345;6029;6459;7507;8320;;;4600;4705;4813;4441;4747;4762;4930;5041;5159;5556;6003;6668;7728;8616;;;4508;4802;4726;4566;4495;4789;4992;5044;5369;5787;6117;6824;7622;8724;;;4614;4762;4600;4568;4704;4876;5103;5109;5280;5904;6788;7075;7964;8859;;;
0862000;"Powiat m. Zielona Góra";3427;3318;3070;3211;3304;3240;3116;3287;3833;3949;4533;4676;5845;6210;;;3037;3168;3333;3243;3149;3267;3565;3303;3746;4000;4338;5155;5854;6497;;;3318;3174;2976;2989;3086;3230;3498;3800;3631;4069;4745;4966;5870;7150;;;3373;3425;3282;3332;3226;3324;3517;3846;3950;4219;4732;5167;5795;7329;;;
1061000;"Powiat m. Łódź";4009;3888;3729;3741;3512;3519;3526;3711;4094;4753;5239;6004;6700;7499;;;3997;3871;3602;3794;3556;3584;3655;4012;4447;4897;5556;6168;6781;6910;;;4080;3846;3704;3693;3723;3498;3518;4388;4399;5099;5617;6160;6821;7736;;;3965;3714;3723;3750;3550;3534;3741;4035;4720;5360;5785;6370;6723;7587;;;
1261000;"Powiat m. Kraków";6202;6275;6378;5831;6041;6111;6240;6335;6250;6598;8166;8290;9534;10610;;;6304;6413;6364;6020;6250;6009;6178;6180;6331;6997;7887;8871;9935;10538;;;6339;6422;6258;5992;6194;6227;6202;6189;6605;7143;8092;8954;10187;11651;;;6293;6479;6065;5988;6201;6036;5974;6290;7288;8102;8240;9463;10720;12521;;;
1465000;"Powiat m. st. Warszawa";7746;7767;7487;6941;7042;7185;7244;7792;7904;8537;9105;10062;11343;12400;;;7861;7733;7428;6931;7038;7502;7333;7667;8088;8509;8976;10623;11974;12721;;;7778;7733;7322;6907;7151;7332;7550;7785;8228;8730;9500;10962;11617;13250;;;7765;7653;7219;6930;7186;7056;7223;7855;8398;9120;9940;10504;11865;13736;;;
1661000;"Powiat m. Opole";4005;3907;4138;4044;4075;4033;4014;4238;4530;4984;5365;5810;6394;7053;;;4162;4140;4000;3872;4060;4026;4228;4289;4528;4883;5597;5735;6482;7083;;;3682;4096;4237;3938;4063;4358;4146;4295;4777;5020;5470;5912;6967;7590;;;3934;4397;3977;4066;4057;4199;4225;4561;4608;5218;5665;6090;6842;7539;;;
1863000;"Powiat m. Rzeszów";4500;4127;4309;4176;4236;4489;4351;4619;4466;4951;5336;6272;6549;7148;;;0;4714;4331;4111;4391;4722;4439;4781;4776;4872;5655;6686;6813;7042;;;0;4063;4082;4221;4402;4412;4377;4452;4846;5249;5884;6596;6727;7982;;;4009;4568;4536;4167;4432;4592;4444;4600;4771;5628;5788;6331;6735;8223;;;
2061000;"Powiat m. Białystok";4357;4300;4400;4417;4436;4391;4366;4489;4493;5122;5553;5989;6410;7663;;;4176;4404;4407;4368;4308;4406;4388;4526;4682;5049;5669;6124;6880;7226;;;4298;4604;4484;4349;4343;4516;4443;4573;4950;5091;5851;6226;6913;8056;;;4473;4523;4583;4301;4304;4461;4490;4893;4834;5337;5950;6204;6260;8312;;;
