"Kod";"Nazwa";"1 kwartał;ogółem;ogółem;2010;[zł]";"1 kwartał;ogółem;ogółem;2011;[zł]";"1 kwartał;ogółem;ogółem;2012;[zł]";"1 kwartał;ogółem;ogółem;2013;[zł]";"1 kwartał;ogółem;ogółem;2014;[zł]";"1 kwartał;ogółem;ogółem;2015;[zł]";"1 kwartał;ogółem;ogółem;2016;[zł]";"1 kwartał;ogółem;ogółem;2017;[zł]";"1 kwartał;ogółem;ogółem;2018;[zł]";"1 kwartał;ogółem;ogółem;2019;[zł]";"1 kwartał;ogółem;ogółem;2020;[zł]";"1 kwartał;ogółem;ogółem;2021;[zł]";"1 kwartał;ogółem;ogółem;2022;[zł]";"1 kwartał;ogółem;ogółem;2023;[zł]";"1 kwartał;ogółem;ogółem;2024;[zł]";"1 kwartał;ogółem;ogółem;2025;[zł]";"2 kwartał;ogółem;ogółem;2010;[zł]";"2 kwartał;ogółem;ogółem;2011;[zł]";"2 kwartał;ogółem;ogółem;2012;[zł]";"2 kwartał;ogółem;ogółem;2013;[zł]";"2 kwartał;ogółem;ogółem;2014;[zł]";"2 kwartał;ogółem;ogółem;2015;[zł]";"2 kwartał;ogółem;ogółem;2016;[zł]";"2 kwartał;ogółem;ogółem;2017;[zł]";"2 kwartał;ogółem;ogółem;2018;[zł]";"2 kwartał;ogółem;ogółem;2019;[zł]";"2 kwartał;ogółem;ogółem;2020;[zł]";"2 kwartał;ogółem;ogółem;2021;[zł]";"2 kwartał;ogółem;ogółem;2022;[zł]";"2 kwartał;ogółem;ogółem;2023;[zł]";"2 kwartał;ogółem;ogółem;2024;[zł]";"2 kwartał;ogółem;ogółem;2025;[zł]";"3 kwartał;ogółem;ogółem;2010;[zł]";"3 kwartał;ogółem;ogółem;2011;[zł]";"3 kwartał;ogółem;ogółem;2012;[zł]";"3 kwartał;ogółem;ogółem;2013;[zł]";"3 kwartał;ogółem;ogółem;2014;[zł]";"3 kwartał;ogółem;ogółem;2015;[zł]";"3 kwartał;ogółem;ogółem;2016;[zł]";"3 kwartał;ogółem;ogółem;2017;[zł]";"3 kwartał;ogółem;ogółem;2018;[zł]";"3 kwartał;ogółem;ogółem;2019;[zł]";"3 kwartał;ogółem;ogółem;2020;[zł]";"3 kwartał;ogółem;ogółem;2021;[zł]";"3 kwartał;ogółem;ogółem;2022;[zł]";"3 kwartał;ogółem;ogółem;2023;[zł]";"3 kwartał;ogółem;ogółem;2024;[zł]";"3 kwartał;ogółem;ogółem;2025;[zł]";"4 kwartał;ogółem;ogółem;2010;[zł]";"4 kwartał;ogółem;ogółem;2011;[zł]";"4 kwartał;ogółem;ogółem;2012;[zł]";"4 kwartał;ogółem;ogółem;2013;[zł]";"4 kwartał;ogółem;ogółem;2014;[zł]";"4 kwartał;ogółem;ogółem;2015;[zł]";"4 kwartał;ogółem;ogółem;2016;[zł]";"4 kwartał;ogółem;ogółem;2017;[zł]";"4 kwartał;ogółem;ogółem;2018;[zł]";"4 kwartał;ogółem;ogółem;2019;[zł]";"4 kwartał;ogółem;ogółem;2020;[zł]";"4 kwartał;ogółem;ogółem;2021;[zł]";"4 kwartał;ogółem;ogółem;2022;[zł]";"4 kwartał;ogółem;ogółem;2023;[zł]";"4 kwartał;ogółem;ogółem;2024;[zł]";"4 kwartał;ogółem;ogółem;2025;[zł]";
0264000;"Powiat m. Wrocław";293267;301020;291606;284153;285518;280541;294577;296586;315783;325411;379344;427271;480212;519858;;;301327;309959;292780;349914;298640;292120;291513;305749;323877;340611;383557;456125;476212;539815;;;308707;303953;292936;282891;302152;284085;306617;307145;332984;364479;396027;455599;505174;564387;;;318109;313440;290624;285833;288511;294490;313603;311600;345358;354506;405534;447380;531232;565793;;;
0461000;"Powiat m. Bydgoszcz";199539;205837;201144;193209;199017;196089;213319;207226;235626;245533;272177;291312;319794;333141;;;187051;210202;190750;198330;196419;204966;218060;209691;228780;248467;272888;311902;315866;344728;;;180532;192813;196056;194616;191888;194986;216153;223114;231574;265134;279981;308417;341869;349666;;;193496;205732;191910;196301;190734;197711;195395;221419;243903;262259;316457;315114;315521;367158;;;
0663000;"Powiat m. Lublin";255746;249671;249031;234648;262887;248918;270449;263197;275621;286774;327214;331983;391828;414672;;;246211;254090;257402;246154;264331;254192;259898;262290;280000;295844;314669;353616;403416;421833;;;242394;255563;253794;238222;249738;253506;258241;261403;281980;316164;317518;356388;400126;436586;;;259058;277928;249656;243059;248429;264507;269555;262784;293318;313870;338106;384033;418681;471000;;;
0862000;"Powiat m. Zielona Góra";174503;181309;167246;171803;171404;162546;158582;169088;199846;221203;239250;240681;314187;347011;;;156290;170123;172609;174553;179709;164858;182234;179727;203414;238250;229068;268533;306342;371366;;;178960;171118;149238;162019;173901;162657;166091;188374;199922;236635;248617;266230;320277;406174;;;171307;183201;173147;169279;158033;170990;187889;190709;223174;213753;249484;288786;356231;396629;;;
1061000;"Powiat m. Łódź";236033;205934;210326;208444;195648;196343;187909;202776;222676;242625;265095;294780;333481;351913;;;217661;206388;190061;216727;200868;195490;194945;207964;234314;251994;280586;299012;332600;326831;;;231892;210236;201456;209016;210267;189689;182270;217134;230937;254752;263267;307327;321056;372645;;;221016;207473;213702;202963;195308;196861;199422;203623;243529;271800;284397;307584;320921;369142;;;
1261000;"Powiat m. Kraków";336687;349583;332776;310150;324613;323965;335334;327482;327229;351351;417637;446086;532244;559499;;;357346;344834;345041;330590;331664;327212;323950;317883;331228;357884;424037;467502;525207;578815;;;348299;343835;333724;317742;319508;328573;338361;327535;335186;373070;427607;470034;535561;614607;;;355155;342923;317482;330715;331219;344943;331348;376191;365882;431071;445277;521648;571944;667224;;;
1465000;"Powiat m. st. Warszawa";476832;463530;468504;435941;441512;442054;443267;439259;464938;534788;543493;618895;696883;736806;;;494159;474761;457910;431135;431895;451859;436250;440811;503259;505445;543805;653611;719418;723186;;;462429;457152;484251;428483;478964;425316;438308;482378;509436;509029;563646;651264;682636;766825;;;492113;485035;459979;439605;450822;421111;409878;455592;518451;531935;588267;650714;724998;779297;;;
1661000;"Powiat m. Opole";209968;191236;209643;215292;209192;215371;207882;223527;237958;268076;276165;328664;340527;348589;;;215076;204224;213808;190973;211040;212133;216409;225745;251971;273033;303344;327472;366256;364424;;;200416;210183;226331;197964;222379;221031;204074;219497;244400;274194;298946;325276;395559;420488;;;213103;225301;200386;218851;223823;220190;221532;243496;249149;280053;329252;330056;381892;432228;;;
1863000;"Powiat m. Rzeszów";291917;236504;235788;226795;216797;230146;221152;228236;230276;260493;280184;333379;354749;369000;;;0;217320;221040;210005;208660;242389;222750;249897;248861;261641;289104;352893;371352;398510;;;0;212086;218259;208581;225874;237628;214761;228778;243503;269554;292819;351333;349668;409599;;;204948;227813;232327;202371;219449;220367;227043;237573;253262;276527;294514;337195;349810;423974;;;
2061000;"Powiat m. Białystok";239510;232654;223086;227703;218359;222990;214074;231892;233729;262246;275760;308039;338088;364316;;;231139;240882;223258;225409;215515;218831;218851;225484;237589;268126;298284;321114;351310;359397;;;228320;241961;231898;228721;218470;215743;219126;223682;239568;262167;295607;324682;341692;394700;;;245644;253506;230104;225536;221379;214289;220638;243888;241187;277080;294235;334107;309223;423063;;;
2261000;"Powiat m. Gdańsk";303730;316686;348598;297941;290848;292857;292066;306358;366465;374239;448145;467221;554175;539834;;;302038;320347;320585;307063;306913;296662;296493;348156;368741;380905;438160;471218;499654;566938;;;300257;317962;319205;291334;305475;291166;301206;391420;344408;395946;430428;540450;541524;601052;;;311349;322015;318215;299803;304455;286369;337510;357329;364076;419272;446326;550808;499088;613212;;;
2469000;"Powiat m. Katowice";181215;189228;170585;165694;177417;176921;170847;180753;202131;236911;265880;293959;297035;371036;;;202601;187201;196123;173422;181046;182818;189653;190786;210705;252449;292058;314411;352848;424523;;;193966;192138;182908;180182;175653;191181;180838;189938;232628;262326;277853;319804;0;381943;;;187091;207792;175067;175245;202329;175192;190138;195722;236739;274375;289876;296752;0;440843;;;
2661000;"Powiat m. Kielce";217333;224924;235394;214327;224643;220678;220180;220608;213942;225627;286925;294595;333134;345534;;;228016;219579;240775;229904;226414;217022;209515;204785;233367;256554;282487;316110;374394;364503;;;224378;219593;235550;218955;208204;200305;198361;199685;223198;251315;273932;318674;368409;353967;;;207473;205552;253249;230525;227831;230063;196920;206076;235903;257347;296099;317269;353000;415382;;;
2862000;"Powiat m. Olsztyn";210914;230756;210260;198333;211226;223901;211805;224639;231508;240733;290891;318859;357713;368219;;;206417;243959;229868;216945;233365;225023;236402;230179;250004;259460;293294;316451;361111;393748;;;252288;232328;205680;203957;223971;211923;217479;234351;250302;269964;288989;325645;374169;381042;;;234755;248283;222989;217987;221747;240463;226006;245986;253077;296061;301662;389040;376546;414232;;;
3064000;"Powiat m. Poznań";325172;309386;307433;279422;275686;280999;288799;302015;322539;332914;373821;397521;432126;432689;;;298777;321394;283649;286709;281454;280580;292813;305219;329612;335808;363407;408809;454468;472368;;;316320;300933;286462;285153;294931;285796;297347;313269;330229;340357;356939;412273;488237;529739;;;312203;314708;275067;297329;314956;304057;295763;304301;333154;342522;346035;388477;462344;526396;;;
3262000;"Powiat m. Szczecin";247985;255759;236684;220590;231171;228353;228770;235302;250639;287379;353471;358844;391220;514730;;;251478;231381;238046;231210;222088;242034;224843;238567;261997;282838;427360;365373;463294;512409;;;265497;238015;223347;227339;213892;225927;249132;259531;273015;290758;482187;350954;375771;419083;;;256677;255714;237408;227785;221148;220007;230964;244405;287615;295820;501125;371617;313755;514487;;;
