"Kod";"Nazwa";"1 kwartał;ogółem;ogółem;2010;[zł]";"1 kwartał;ogółem;ogółem;2011;[zł]";"1 kwartał;ogółem;ogółem;2012;[zł]";"1 kwartał;ogółem;ogółem;2013;[zł]";"1 kwartał;ogółem;ogółem;2014;[zł]";"1 kwartał;ogółem;ogółem;2015;[zł]";"1 kwartał;ogółem;ogółem;2016;[zł]";"1 kwartał;ogółem;ogółem;2017;[zł]";"1 kwartał;ogółem;ogółem;2018;[zł]";"1 kwartał;ogółem;ogółem;2019;[zł]";"1 kwartał;ogółem;ogółem;2020;[zł]";"1 kwartał;ogółem;ogółem;2021;[zł]";"1 kwartał;ogółem;ogółem;2022;[zł]";"1 kwartał;ogółem;ogółem;2023;[zł]";"1 kwartał;ogółem;ogółem;2024;[zł]";"1 kwartał;ogółem;ogółem;2025;[zł]";"2 kwartał;ogółem;ogółem;2010;[zł]";"2 kwartał;ogółem;ogółem;2011;[zł]";"2 kwartał;ogółem;ogółem;2012;[zł]";"2 kwartał;ogółem;ogółem;2013;[zł]";"2 kwartał;ogółem;ogółem;2014;[zł]";"2 kwartał;ogółem;ogółem;2015;[zł]";"2 kwartał;ogółem;ogółem;2016;[zł]";"2 kwartał;ogółem;ogółem;2017;[zł]";"2 kwartał;ogółem;ogółem;2018;[zł]";"2 kwartał;ogółem;ogółem;2019;[zł]";"2 kwartał;ogółem;ogółem;2020;[zł]";"2 kwartał;ogółem;ogółem;2021;[zł]";"2 kwartał;ogółem;ogółem;2022;[zł]";"2 kwartał;ogółem;ogółem;2023;[zł]";"2 kwartał;ogółem;ogółem;2024;[zł]";"2 kwartał;ogółem;ogółem;2025;[zł]";"3 kwartał;ogółem;ogółem;2010;[zł]";"3 kwartał;ogółem;ogółem;2011;[zł]";"3 kwartał;ogółem;ogółem;2012;[zł]";"3 kwartał;ogółem;ogółem;2013;[zł]";"3 kwartał;ogółem;ogółem;2014;[zł]";"3 kwartał;ogółem;ogółem;2015;[zł]";"3 kwartał;ogółem;ogółem;2016;[zł]";"3 kwartał;ogółem;ogółem;2017;[zł]";"3 kwartał;ogółem;ogółem;2018;[zł]";"3 kwartał;ogółem;ogółem;2019;[zł]";"3 kwartał;ogółem;ogółem;2020;[zł]";"3 kwartał;ogółem;ogółem;2021;[zł]";"3 kwartał;ogółem;ogółem;2022;[zł]";"3 kwartał;ogółem;ogółem;2023;[zł]";"3 kwartał;ogółem;ogółem;2024;[zł]";"3 kwartał;ogółem;ogółem;2025;[zł]";"4 kwartał;ogółem;ogółem;2010;[zł]";"4 kwartał;ogółem;ogółem;2011;[zł]";"4 kwartał;ogółem;ogółem;2012;[zł]";"4 kwartał;ogółem;ogółem;2013;[zł]";"4 kwartał;ogółem;ogółem;2014;[zł]";"4 kwartał;ogółem;ogółem;2015;[zł]";"4 kwartał;ogółem;ogółem;2016;[zł]";"4 kwartał;ogółem;ogółem;2017;[zł]";"4 kwartał;ogółem;ogółem;2018;[zł]";"4 kwartał;ogółem;ogółem;2019;[zł]";"4 kwartał;ogółem;ogółem;2020;[zł]";"4 kwartał;ogółem;ogółem;2021;[zł]";"4 kwartał;ogółem;ogółem;2022;[zł]";"4 kwartał;ogółem;ogółem;2023;[zł]";"4 kwartał;ogółem;ogółem;2024;[zł]";"4 kwartał;ogółem;ogółem;2025;[zł]";
0264000;"Powiat m. Wrocław";555155000;475612109;528389902;687081969;629282335;693217954;1040447297;914967212;1047453582;1054658523;1319739362;1445457388;1739327636;1400497644;;;449881023;528480385;556282479;944769114;521126133;754254444;1071892859;1161233984;1090171661;1491194146;651279144;1858252356;1509592041;1573561952;;;550733903;552891375;598760880;713168623;596447462;772426470;920464008;921742414;991627661;1032934454;427312786;1667491159;1553410338;1861912569;;;797498342;689881157;434774071;746595510;726470893;712075830;605880050;673367535;954568209;637047380;205200248;2354561916;1534196751;2374067043;;;
0461000;"Powiat m. Bydgoszcz";80414346;117944316;127927509;128677125;127569951;132948177;167455316;175727401;250705838;240131201;216925404;254606824;364885483;271843111;;;63971383;109725669;107201546;153111084;113726633;155364488;182297862;170688291;183024333;200761329;136716916;388317977;242900695;274059048;;;73476617;88115632;128220452;121634917;119354380;116796615;146551683;178490880;207721733;195933855;207746150;243958035;281358509;390577187;;;85718740;134548811;120327679;128184603;125121319;126930391;63503341;135729696;176342136;190400226;254748083;258078068;239480241;414521577;;;
0663000;"Powiat m. Lublin";120456421;109855174;164858222;82361400;97793930;171006409;229611223;273725173;405989520;330650209;297437337;461455793;344808272;563125058;;;87404926;60473480;61519017;101169495;87493615;126333495;201941060;220586022;363159451;405306567;338268870;433886551;328380607;601956065;;;121439360;107847543;140348018;134833662;60436561;126752854;150296436;217487468;254064077;329759293;375941581;460809161;418531918;522157168;;;80826094;64479239;77892516;121529670;95893510;206844688;209983699;203395193;281291939;243876983;511215853;497706701;458455799;745593249;;;
0862000;"Powiat m. Zielona Góra";26524419;33542243;38968291;42263521;66847662;33484544;29496291;46668401;117709393;136261152;136850987;145371597;124103683;201960287;;;13753511;20244635;42979597;25135568;7008645;38576857;47927564;42595301;75059797;119363278;87274993;97745989;142449211;130349579;;;46708597;44319650;23878100;36616399;9042855;24723837;41190498;67437825;70572376;96310267;139971337;96907779;166223800;147441171;;;27409073;37556103;37572867;21836957;18647885;31975202;49039016;56449800;123861732;35696822;123744174;155366751;102238344;174516769;;;
1061000;"Powiat m. Łódź";95829250;65075270;122619913;257636220;195648281;244446778;276226428;263000423;362516755;427990058;564121546;822140179;784680875;735498961;;;144526762;124245291;18816006;236015367;220552599;218753414;247579870;252467866;463473233;532211338;512350905;830654009;706108962;618363676;;;151657470;163353546;196218412;246011896;238232226;213968988;254449542;346328406;393516410;497020886;574710931;672123760;560242979;809013256;;;70283054;160168962;155574796;248630147;179487838;263400234;257453930;247809419;418625492;403894919;543766730;472756375;303912346;913994678;;;
1261000;"Powiat m. Kraków";691554777;582054885;575037411;674265096;797574232;910665881;1098891101;1220526242;1193731370;1389242304;1314304084;1698249098;2019864310;2116026221;;;702185358;630701849;624869658;760687384;862989937;811157453;1109529335;1040747370;1037735909;1413285789;1249212532;2240267386;2341897311;2042638367;;;693462390;625435528;580346054;766076390;912194970;945632950;825599739;876811125;993156217;1296790564;1260157092;1767796415;1993359886;2816744624;;;831773840;683787774;633377098;937578434;983388450;1007923442;602391053;309981282;673589504;769030147;1129222818;1672402969;2272905529;3054551243;;;
1465000;"Powiat m. st. Warszawa";1159177481;1147700018;1307126939;1145216152;1517034949;2213365028;2535485659;3113030759;2839843761;2591582739;3421830587;4332880791;4339491453;3449723734;;;1140023685;1297046715;1164464408;1302458867;1452895772;2304481395;2983511555;3056581973;2858007468;2940172425;3016487490;4915158199;4405716759;3954380448;;;1151448413;1290538940;1244041159;1460699071;1742950479;2435786858;3019503403;3250261319;3175826762;3392172405;3385823307;3503147479;3670533761;4551870315;;;1299178038;1342576863;1242863979;1710065090;1576974135;2559510006;2165382987;1152646849;2680912099;2972983520;2259531893;901889291;3643838019;5827583666;;;
1661000;"Powiat m. Opole";26875903;26390592;42138232;37891354;48950976;45443177;49060056;56105379;94231558;79618448;164318294;127850427;183884813;134206637;;;62156882;36147619;34850761;32465476;51071623;37123354;62542325;56887714;82646411;92831183;98586797;121819627;149066238;127183816;;;62529828;35941297;44134594;38801022;37581977;44427145;40814799;48508909;72831273;85000260;125856076;121002524;144774696;125725904;;;44538429;58803558;38674545;54931628;53269787;55928366;42091074;73292420;76987120;115661707;120506084;124431073;140918118;146957601;;;
1863000;"Powiat m. Rzeszów";16055444;11588674;84412234;86862556;55066394;87915813;75855127;106129658;81748084;234183403;220224502;396054584;288056170;260513872;;;0;10214037;43765890;76021904;60302741;142767110;78407890;41732871;142099795;231028847;173751611;378654656;236551151;198856696;;;0;11664703;44743116;56734024;80411159;94338127;34791313;42095235;211116947;252302839;371586823;306011071;343723728;292044048;;;10657283;38272608;53435312;40069500;61006923;120540951;44273340;66045428;200836983;362250666;319252933;375972362;350509457;396416114;;;
2061000;"Powiat m. Białystok";61314494;86081992;113773755;123415258;130797340;138699968;189027095;207079665;180438811;187505910;216471614;254440017;485156617;286717012;;;70266296;97075259;106270809;98503531;132110618;106133058;155602886;157838586;147305272;215305255;220432190;404282882;309855187;323098026;;;90871326;127513571;125688753;109328852;141131841;160944281;147033419;172458692;153323328;240144809;267820085;363643778;319823868;374569841;;;132156333;132330266;121494832;138028257;122643914;127501892;132161995;190720523;231539654;298137920;285996205;463406004;177494110;559711929;;;
