numer,tytuł,cena,miasto,dzielnica,metry_kwadratowe,liczba_pokoi,piętro
1,"Wiślany Mokotów, 2 pokoje z tarasem/ogródkiem, kameralne osiedle",990 000 zł,Warszawa,Brak danych,"49,68 m² - 19927.54 zł/m²",2 pokoje,Brak danych
2,"Nowe mieszkanie, Siedlce, ul. Sowińskiego, 50,55 m2",545 940 zł,Brak danych,Brak danych,"50,55 m² - 10800 zł/m²",Brak danych,Brak danych
3,"Lokal,na Dowolną Działalność i Mieszkać #ZDECYDOWANIE #sprzedam",1 443 990 złdo negocjacji,Szczecin,Brak danych,143 m² - 10097.83 zł/m²,Brak danych,Brak danych
4,Mieszkanie na sprzedaż w Gliwicach przy ul.Henryka Sienkiewicza,474 900 złdo negocjacji,Stare Gliwice - Odświeżono Dzisiaj O 15:36,Gliwice,68 m² - 6983.82 zł/m²,Brak danych,Brak danych
5,"Mieszkanie 64m na sprzedaż, ul. Gajowicka- Bezpośrednio od właściciela",775 000 złdo negocjacji,Wrocław,Brak danych,64 m² - 12109.38 zł/m²,Brak danych,Brak danych
6,Sprzedam mieszkanie Kraków,799 000 zł,Kraków,Brak danych,56 m² - 14267.86 zł/m²,Brak danych,Brak danych
7,3 pokoje/ 2 pietro/ dostepne od zaraz/ FORDON,469 000 złdo negocjacji,Bydgoszcz - Odświeżono Dzisiaj O 11:38,Brak danych,60 m² - 7816.67 zł/m²,3 pokoje,Brak danych
8,Mieszkanie na sprzedaz,518 000 złdo negocjacji,Szczecin,Brak danych,74 m² - 7000 zł/m²,Brak danych,Brak danych
9,Sprzedam mieszkanie 88m Piła Zielona Dolina,990 000 złdo negocjacji,Brak danych,Brak danych,88 m² - 11250 zł/m²,Brak danych,Brak danych
10,Okazja Nowa Cena 2 pokojowe mieszkanie przy ul. Smętka w Olsztynie,445 000 zł,Olsztyn - Odświeżono Dzisiaj O 20:21,Brak danych,"47,90 m² - 9290.19 zł/m²",2 pokoje,Brak danych
11,Swietne mieszkanie blisko Centrum - mozliwość aranżacji na 4 pokojowe,856 500 zł,Kraków,Brak danych,"57,10 m² - 15000 zł/m²",4 pokoje,Brak danych
12,"REZERWACJA! Mysłowice Brzęczkowice ul. W. Korfantego, 3pokoje, 67m kw.",399 000 zł,Brak danych,Brak danych,67 m² - 5955.22 zł/m²,3 pokoje,Brak danych
13,Słoneczna kawalerka,270 000 zł,Częstochowa,Brak danych,34 m² - 7941.18 zł/m²,1 pokój,Brak danych
14,"Mieszkanie dwupoziomowe 83.77m2, 3 balkony, klimatyzacja, piwnica",525 000 złdo negocjacji,Brak danych,Brak danych,"83,77 m² - 6267.16 zł/m²",Brak danych,Brak danych
15,"Gotowiec inwestycyjny, 4 pokoje, ul. Pana Tadeusza",489 000 zł,Olsztyn - Odświeżono Dzisiaj O 18:16,Brak danych,"48,20 m² - 10145.23 zł/m²",4 pokoje,Brak danych
16,"Mieszkanie 3 pokoje, Loggia, 47m2 , gotowe do wprowadzenia",389 500 zł,Koszalin - Odświeżono Dzisiaj O 07:37,Brak danych,47 m² - 8287.23 zł/m²,3 pokoje,Brak danych
17,"Bezpośrednio 2 pokoje Kraków,Os. Albertyńskie!Do zamieszkania",689 000 złdo negocjacji,Kraków,Brak danych,"42,28 m² - 16296.12 zł/m²",2 pokoje,Brak danych
18,Mieszkanie 2 pokojowe PARTER koło Fabryki Wody,460 000 zł,Szczecin,Brak danych,32 m² - 14375 zł/m²,2 pokoje,Parter
19,Sprzedam mieszkanie 2 pietro 45m2 Hermana,299 000 zł,Płock - Odświeżono Dzisiaj O 08:22,Brak danych,45 m² - 6644.44 zł/m²,Brak danych,Brak danych
20,Mieszkanie Nysa Gałczyńskiego,249 999 złdo negocjacji,Brak danych,Brak danych,33 m² - 7575.73 zł/m²,Brak danych,Brak danych
21,"Mieszkanie, Szczecin",789 000 zł,Szczecin,Brak danych,85 m² - 9282.35 zł/m²,Brak danych,Brak danych
22,Mieszkanie 2 oddzielne pokoje ul. Dąbrowskiego 44 BEZPOŚREDNIO,285 000 złdo negocjacji,Łódź,Brak danych,"36,74 m² - 7757.21 zł/m²",Brak danych,Brak danych
23,Mieszkanie ul.Asnyka Bielsko-Biała dwupokojowe z komórką niskie opłaty,374 530 zł,Bielsko-Biała - 16 Lipca 2025,Brak danych,"34,84 m² - 10750 zł/m²",Brak danych,Brak danych
24,Przytulne 2‑pokojowe mieszkanie na Górczynie – gotowe do zamieszkania!,319 000 zł,Gorzów Wielkopolski - 15 Lipca 2025,Brak danych,"32,42 m² - 9839.61 zł/m²",Brak danych,Brak danych
25,Mieszkanie Kawalerka 2 piętro,159 000 zł,Płock - Odświeżono Dnia 16 Lipca 2025,Brak danych,"20,10 m² - 7910.45 zł/m²",1 pokój,2 piętro
26,"Rumia – 2 pokoje z ogródkiem! Komfort, spokój i świetna lokalizacja",533 000 zł,Brak danych,Brak danych,41 m² - 13000 zł/m²,2 pokoje,Brak danych
27,"Sprzedam udział 2/3 mieszkanie 46,9m2 Pionki obok Radomia",27 000 zł,Radom,Brak danych,"46,90 m² - 575.69 zł/m²",Brak danych,Brak danych
28,"Mieszkanie na sprzedaż, Śródmieście Lublin, ***WYSOKI STANDARD***",520 000 złdo negocjacji,Lublin - Odświeżono Dzisiaj O 18:48,Brak danych,44 m² - 11818.18 zł/m²,Brak danych,Brak danych
29,"Kawalerka 32,17m2, Na Miasteczku/Rondo Rataje",498 000 zł,Poznań,Brak danych,"32,17 m² - 15480.26 zł/m²",1 pokój,Brak danych
30,"Mieszkanie na sprzedaż, 48m2 Stare Bałuty - pięć minut od Manufaktury!",310 000 zł,Łódź,Brak danych,48 m² - 6458.33 zł/m²,Brak danych,Brak danych
31,"3 pokoje | 50,94 m² | Balkon + Piwnica | 10 piętro | Bielany Piaski",698 000 zł,Warszawa,Brak danych,50 m² - 13960 zł/m²,3 pokoje,10 piętro
32,Mieszkanie w nowym bloku. Balkon 16m2 widokiem na Wisłę.,533 000 złdo negocjacji,Brak danych,Brak danych,"62,75 m² - 8494.02 zł/m²",Brak danych,Brak danych
33,Sprzedam mieszkanie 69 m2 do remontu,369 000 złdo negocjacji,Szczecin,Brak danych,69 m² - 5347.83 zł/m²,Brak danych,Brak danych
34,"Kawalerka 32 m² z balkonem i piwnicą, ul. Puławska",368 000 zł,Lublin - Odświeżono Dzisiaj O 12:02,Brak danych,32 m² - 11500 zł/m²,1 pokój,Brak danych
35,Na sprzedaż -2- pokojowe mieszkanie z garażem Warszawa Zacisze,750 000 złdo negocjacji,Warszawa,Brak danych,"56,60 m² - 13250.88 zł/m²",Brak danych,Brak danych
36,"2-poziomowe, nowoczesne mieszkanie z garażem Pruszków",899 900 zł,Brak danych,Brak danych,75 m² - 11998.67 zł/m²,Brak danych,Brak danych
37,Stylowe 3 pokoje | Grabiszyn/Hallera | po remoncie,635 000 zł,Wrocław,Brak danych,"46,45 m² - 13670.61 zł/m²",3 pokoje,Brak danych
38,"Nowe 3-pok. mieszkanie dostępne od ręki , bezpośrednio od dewelopera .",628 995 złdo negocjacji,Brak danych,Brak danych,"66,20 m² - 9501.44 zł/m²",Brak danych,Brak danych
