id,tytuł,cena,miasto,dzielnica,metry_kwadratowe,liczba_pokoi,piętro
1,❗️PROMOCJA❗️PONIŻEJ 10k/m2✅Dwustr. M4✅Łaź+WC✅Aneks z oknem✅INNE PIETRA,692 419 zł,Poznań,Miasto,70.6 m²,4 pokoje,1 piętro
2,"Przestronne i funkcjonalne mieszkanie na Gocławiu, 71,2m2, 3 pokoje",211 375 000 zł,Warszawa,Południe,71.2 m²,3 pokoje,4 piętro
3,3 pokoje z widokiem na Centrum Gocław,815 000 zł,Warszawa,Południe,62.02 m²,3 pokoje,9 piętro
4,"Mieszkanie 3-pokoje,wyposażone , ul. Laurowa 8 / Dożynkowa / Ponikwoda",599 900 zł,Lublin,Ponikwoda,53 m²,3 pokoje,3 piętro
5,Gocław Fieldorfa 3 pokoje oddzielna kuchnia moż. zakupu garaż podziem.,91 405 000 zł,Warszawa,Południe,74.4 m²,3 pokoje,6 piętro
6,"Mieszkanie 4 pok. z balkonem, ogródek, MP w cenie! Park! Wroclaw",760 000 zł,Wrocław,Krzyki,86 m²,4 pokoje,1 piętro
7,Okazja! Przestronna kawalerka z widną kuchnią,649 000 zł,Warszawa,Południe,37 m²,1 pokoje,2 piętro
8,"Odolany | Komfortowe 3 pokoje z klimatyzacją, garażem i komórką",211 099 000 zł,Warszawa,Wola,54.8 m²,3 pokoje,2 piętro
9,Mieszkanie do zamieszkania,449 000 zł,Białystok,Miasto,41.45 m²,2 pokoje,2 piętro
10,Jasne / Rozkładowe - z dużym Balkonem,304 700 zł,Chorzów,Brak danych,43 m²,2 pokoje,3 piętro
11,Craft Zabłocie,1 058 631 zł,Kraków,Podgórze,78 m²,4 pokoje,Brak danych
12,Chmielna Duo | zapytaj o cenę promocyjną,28 307 zł,Warszawa,Wola,89 m²,3 pokoje,Brak danych
13,REZERWCJA Kawalerka 40m2 Doskonała Lokalizacja Wirek Centrum A4/DTŚ,198 000 zł,Ruda,Bykowina,41 m²,1 pokoje,2 piętro
14,NOWA CENA Słoneczne 2 Pokojowe Mieszkanie z Dużym Balkonem 39m2 Godula,205 000 zł,Ruda,Godula,39.7 m²,2 pokoje,5 piętro
15,"Metro St. Bielany, kamienica, balkon, parking",630 000 zł,Warszawa,Bielany,32 m²,2 pokoje,1 piętro
16,Rozkładowe M-3 z balkonem i windą blisko przystanki MPK,265 000 zł,Łódź,Bałuty,36.87 m²,2 pokoje,5 piętro
17,Mieszkanie 2 pok 51m2,585 000 zł,Gdańsk,Brak danych,51 m²,2 pokoje,3 piętro
18,Idealne ! Ponikwoda - Duże Rabaty ! Okazja,318 000 zł,Lublin,Kalinowszczyzna,27.72 m²,2 pokoje,2 piętro
19,5 pokoi 72m2 os.Nałkowskich ul.Romera pietro 4z4 bez windy,569 000 zł,Lublin,Wrotków,72.5 m²,5 pokoje,4 piętro
20,Apartament Nowa Zamiejska,750 000 zł,Słupsk,Zamiejska,68 m²,3 pokoje,parter
21,Medyków 32 | mieszkanie 4-pok. | 31,822 600 zł,Katowice,Panewniki,82.26 m²,4 pokoje,1 piętro
